path	classification	rationale
.gitignore	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
README.md	TRINYX_ADAPTATION_REQUIRED	Trinyx product/release documentation overlay
backend/agent-common/src/main/java/com/apimarketplace/agent/domain/ToolParameter.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-common/src/main/java/com/apimarketplace/agent/prompt/DefaultSystemPrompts.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-common/src/main/java/com/apimarketplace/agent/registry/AgentToolDefinition.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-common/src/main/java/com/apimarketplace/agent/registry/ToolSchemaGenerator.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-service/src/main/java/com/apimarketplace/agent/service/cli/CliAgentService.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-service/src/main/java/com/apimarketplace/agent/service/execution/CoreToolsCache.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-service/src/main/java/com/apimarketplace/agent/tools/agent/AgentToolsProvider.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-service/src/test/java/com/apimarketplace/agent/service/cli/CliAgentServiceTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/agent-service/src/test/java/com/apimarketplace/agent/service/execution/CoreToolsCacheTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/domain/CeInstall.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/domain/CeInstallPing.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/repository/CeInstallPingRepository.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/repository/CeInstallRepository.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/VersionController.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/VersionInfo.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeFleetReader.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallFleetMetrics.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallHeaders.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallIdProvider.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallPingRecorder.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallPingRetentionScheduler.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeInstallStatsController.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeReleaseAnnounceController.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeReleaseController.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/CeVersionCheckScheduler.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/HttpReleaseFeedClient.java	TRINYX_ADAPTATION_REQUIRED	Trinyx release feed plus upstream optional CE install-id contract
backend/auth-service/src/main/java/com/apimarketplace/auth/web/version/InternalAuthSecret.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/repository/CeInstallPingRepositoryPersistenceTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/repository/CeInstallPingSqlPostgresTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/repository/CeInstallRepositoryPersistenceTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/web/VersionControllerTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/web/version/CeFleetReaderTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
backend/auth-service/src/test/java/com/apimarketplace/auth/web/version/CeInstallFleetMetricsTest.java	UNCHANGED_UPSTREAM	Merged from the exact LiveContext v0.2.14 ancestry with no PR25-specific adaptation
